j,β,m,y,F
0,0.985074875,0.0038293663135131606,4.3545,0.00022025356566717023
1,0.9655206468094842,0.003814158247281707,5.127388,0.0008611094218113845
2,0.946354579813443,0.003968538022366408,5.754163999999999,0.002873398810590736
3,0.9275689688183278,0.004830034466516309,6.2394359999999995,0.008186991076229739
4,0.9091562615825302,0.006579587276236865,6.587811999999996,0.019915643484495437
5,0.8911090557802088,0.009194906011490422,6.803900000000002,0.0413628594474176
6,0.873420096025387,0.012732523039643673,6.892308,0.07334723804829335
7,0.8560822709551226,0.017157367428742076,6.8576440000000005,0.11105120765370137
8,0.8390886103705792,0.022914638052370484,6.704515999999998,0.1435609140142883
9,0.8224322824348484,0.031137232962250128,6.4375320000000045,0.15846203796763367
10,0.8061065909263957,0.04465576663767035,6.219051999999998,0.14934542080634008
11,0.7901049725470278,0.06141375231607449,6.2190519999999765,0.12018082797736412
12,0.7744209942832987,0.08541074908317137,6.2190519999999765,0.08257578243028695
13,0.7590483508202912,0.11975356786946856,6.2190519999999765,0.048443881551993535
14,0.7439808620067382,0.16759161356350638,6.2190519999999765,0.024265201296955405
15,0.7292124703704614,0.2362463065827597,6.2190519999999765,0.01037712371648786
16,0.7147372386831304,0.3269281128212298,6.2190519999999765,0.003788921465700472
17,0.7005493475733616,1.0,6.2190519999999765,0.0011811872647428257
